
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
ctfmon.exe                    5960 Console                    1     33,620 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
NisSrv.exe                    8600 Services                   0     18,196 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
SecurityHealthSystray.exe     8712 Console                    1     16,068 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
SecurityHealthService.exe     8748 Services                   0     30,492 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
OneDrive.exe                  8828 Console                    1     94,320 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:01 N/A                                                                     
SearchIndexer.exe             9080 Services                   0     22,888 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
ms-teams.exe                  5136 Console                    1     10,940 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:01 N/A                                                                     
RuntimeBroker.exe             8300 Console                    1     26,604 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
msedgewebview2.exe            7344 Console                    1     24,696 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:03 N/A                                                                     
msedgewebview2.exe            7752 Console                    1     15,892 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
msedgewebview2.exe            8448 Console                    1      4,848 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
msedgewebview2.exe            8088 Console                    1      7,828 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
msedgewebview2.exe            7964 Console                    1      2,328 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
msedgewebview2.exe            8636 Console                    1          N/A Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:05 N/A                                                                     
ms-teams.exe                  9340 Console                    1      1,388 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
powershell.exe               10060 Console                    1     95,396 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:01 N/A                                                                     
conhost.exe                  10080 Console                    1     12,176 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
svchost.exe                   9548 Services                   0     73,980 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:09 N/A                                                                     
powershell.exe                9704 Console                    1     79,964 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:01 N/A                                                                     
minicon-release-rss.exe       9852 Console                    1     33,620 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:07 N/A                                                                     
conhost.exe                   9976 Console                    1     10,400 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
cmd.exe                      10056 Console                    1      8,660 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
svchost.exe                   9364 Services                   0     33,228 K Unknown         NT AUTHORITY\NETWORK SERVICE                            0:00:00 N/A                                                                     
svchost.exe                   6872 Services                   0     13,456 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   8236 Services                   0     17,272 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   8728 Services                   0     23,284 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   6864 Services                   0     27,128 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
WmiPrvSE.exe                  7844 Services                   0     14,900 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   9024 Services                   0     17,420 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
msedgewebview2.exe            5848 Console                    1     14,716 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:01 N/A                                                                     
msedgewebview2.exe            9512 Console                    1     15,880 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
msedgewebview2.exe            1128 Console                    1      4,308 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
msedgewebview2.exe            3120 Console                    1      5,536 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
RuntimeBroker.exe             5356 Console                    1     13,224 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
msedgewebview2.exe            6784 Console                    1      2,904 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
msedgewebview2.exe            4448 Console                    1      5,404 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:01 N/A                                                                     
ShellExperienceHost.exe       4128 Console                    1     89,192 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
RuntimeBroker.exe             7864 Console                    1     33,180 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
svchost.exe                   7848 Services                   0     13,368 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
svchost.exe                   5592 Services                   0     50,108 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:01 N/A                                                                     
OneDrive.Sync.Service.exe     9308 Console                    1     32,136 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
MoUsoCoreWorker.exe           1652 Services                   0     74,004 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:04 N/A                                                                     
svchost.exe                   3584 Services                   0     21,536 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
svchost.exe                  10900 Services                   0     14,460 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   7580 Services                   0     12,836 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
svchost.exe                   6064 Services                   0     14,956 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
WmiPrvSE.exe                  3892 Services                   0     17,512 K Unknown         NT AUTHORITY\NETWORK SERVICE                            0:00:00 N/A                                                                     
conhost.exe                   7976 Services                   0     13,192 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
cmd.exe                       8736 Services                   0     14,220 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
tasklist.exe                  6012 Services                   0     14,844 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
